title,budget,runtime,Budget_Per_Minute
"House of 1000 Corpses",7000000,89,78652
"Dark City",27000000,100,270000
"The Blair Witch Project",60000,81,741
"The Bounty",25000000,132,189394
Signs,72000000,106,679245
"Memoirs of an Invisible Man",40000000,99,404040
"Evan Almighty",175000000,96,1822917
"15 Minutes",60000000,120,500000
"40 Days and 40 Nights",17000000,94,180851
"About Schmidt",30000000,125,240000
"The Abyss",70000000,139,503597
Adaptation.,19000000,114,166667
"American Pie 2",30000000,108,277778
"American Splendor",0,101,0
"The Curse of the Jade Scorpion",0,103,0
"Pierrot le fou",300000,110,2727
"Pitch Black",23000000,108,212963
"The Chronicles of Riddick",105000000,119,882353
"My Boss's Daughter",14000000,83,168675
Identity,30000000,90,333333
"Un long dimanche de fiançailles",47000000,133,353383
"The Apostle",5000000,134,37313
"As Good as It Gets",50000000,139,359712
"The Astronaut's Wife",75000000,109,688073
"The Addams Family",30000000,99,303030
"The First Wives Club",26000000,102,254902
"License to Wed",35000000,91,384615
Hairspray,50000000,117,427350
"Becoming Jane",16500000,120,137500
Roar,17000000,102,166667
1408,25000000,104,240385
"Jekyll and Hyde ... Together Again",0,87,0
"Gods and Monsters",10000000,105,95238
"Young Frankenstein",2800000,106,26415
"Ночной дозор",4200000,114,36842
"Ace Ventura: Pet Detective",15000000,86,174419
"Doctor Dolittle",71000000,85,835294
Intolerance,385907,197,1959
"The Big Parade",245000,151,1623
"42nd Street",439000,89,4933
"It Happened One Night",325000,105,3095
"Top Hat",609000,101,6030
"Modern Times",1,87,0
"Mr. Smith Goes to Washington",1500000,129,11628
"Red River",3000000,133,22556
"Basic Instinct 2",70000000,114,614035
"Midnight Cowboy",3600000,113,31858
"Gangs of New York",100000000,167,598802
"Bad Company",70000000,116,603448
Bambi,858000,70,12257
Bandits,75000000,123,609756
"Barry Lyndon",11000000,184,59783
"Beavis and Butt-Head Do America",12000000,81,148148
"Good Night, and Good Luck.",7000000,93,75269
"Dirty Pretty Things",0,97,0
"The Train",5800000,133,43609
"88 Minutes",30000000,108,277778
"A Scanner Darkly",8700000,100,87000
"Under Siege 2: Dark Territory",60000000,100,600000
U-571,62000000,116,534483
"Girl, Interrupted",40000000,127,314961
Changeling,55000000,141,390071
Bogus,32000000,110,290909
"The Number 23",30000000,101,297030
Ransom,80000000,117,683761
"I Know What You Did Last Summer",17000000,100,170000
"I Still Know What You Did Last Summer",65000000,100,650000
"Flash Gordon",35000000,111,315315
"Girl with a Pearl Earring",0,101,0
"No Reservations",28000000,104,269231
54,13000000,106,122642
"Flags of Our Fathers",90000000,132,681818
"The Lady from Shanghai",2300000,87,26437
"Things We Lost in the Fire",16000000,113,141593
"I'm Not There.",20000000,135,148148
"Corpse Bride",40000000,77,519481
"What Women Want",70000000,127,551181
"Team America: World Police",32000000,98,326531
Beetlejuice,15000000,92,163043
"The Believer",1500000,98,15306
"My Girl",16500000,102,161765
"Black Rain",30000000,125,240000
"Bloody Sunday",0,107,0
"The Transporter",21000000,92,228261
Blow,53000000,124,427419
"Road to Perdition",80000000,117,683761
"Revolutionary Road",35000000,119,294118
Trade,12000000,120,100000
Spellbound,1500000,111,13514
Scream,14000000,111,126126
"Scream 2",24000000,120,200000
"Scream 3",40000000,116,344828
"The Kid",65000000,104,625000
"Scary Movie 2",45000000,83,542169
Veer-Zaara,7000000,192,36458
"Scary Movie 3",48000000,84,571429
"Scary Movie 4",45000000,83,542169
"Scary Movie 5",20000000,86,232558
"Charlie's Angels",92000000,98,938776
Atonement,30000000,123,243902
"Pride & Prejudice",28000000,135,207407
"The Kingdom",70000000,110,636364
Monster-in-Law,43000000,101,425743
"Shall We Dance?",50000000,107,467290
"G.I. Jane",50000000,125,400000
"The Brothers Grimm",88000000,118,745763
Seabiscuit,87000000,141,617021
"My Super Ex-Girlfriend",0,95,0
"Legends of the Fall",30000000,133,225564
"The Devil's Own",90000000,107,841121
"The Assassination of Jesse James by the Coward Robert Ford",30000000,160,187500
"30 Days of Night",30000000,113,265487
"Lions for Lambs",35000000,92,380435
"Elizabeth: The Golden Age",55000000,114,482456
Elizabeth,30000000,124,241935
Enchanted,85000000,107,794393
"Panic Room",48000000,111,432432
"친절한 금자씨",0,115,0
"Be Cool",53000000,118,449153
"The Machinist",5000000,101,49505
"Michael Clayton",25000000,119,210084
"Sense and Sensibility",16500000,136,121324
Armored,20000000,88,227273
"Raising Helen",50000000,119,420168
"The Sum of All Fears",68000000,124,548387
"Hot Fuzz",12000000,121,99174
Jindabyne,0,123,0
"Across the Universe",0,133,0
"Southland Tales",17000000,144,118056
"Runaway Bride",70000000,116,603448
"Ghost Dog: The Way of the Samurai",0,116,0
"The Jackal",60000000,124,483871
"Layer Cake",6500000,105,61905
"The Invasion",80000000,99,808081
"Dark Blue",15000000,118,127119
"Confessions of a Dangerous Mind",30000000,113,265487
"The Curious Case of Benjamin Button",150000000,166,903614
"Hang 'em High",1800000,114,15789
ハウルの動く城,24000000,119,201681
Leatherheads,58000000,114,508772
"Burn After Reading",37000000,96,385417
"10 Things I Hate About You",16000000,97,164948
"Be Kind Rewind",0,102,0
"The Legend of Bagger Vance",80000000,126,634921
"The International",50000000,118,423729
"Synecdoche, New York",21000000,124,169355
"Knocked Up",30000000,129,232558
Impostor,40000000,102,392157
"Keeping the Faith",30000000,127,236220
Gothika,40000000,98,408163
"American Gangster",100000000,157,636943
"Boogie Nights",15000000,155,96774
Wonderland,5000000,104,48077
"Vicky Cristina Barcelona",15000000,96,156250
Severance,0,96,0
"August Rush",25000000,114,219298
Rendition,27500000,120,229167
"Martian Child",0,106,0
"Sky Captain and the World of Tomorrow",70000000,107,654206
"The Astronaut Farmer",13000000,104,125000
"Rush Hour 3",140000000,91,1538462
"Rush Hour 2",90000000,90,1000000
"3:10 to Yuma",55000000,122,450820
"The Good Heart",3800000,95,40000
"Kiss Kiss Bang Bang",15000000,103,145631
"The Polar Express",165000000,100,1650000
"Gosford Park",19800000,137,144526
"The Hunting Party",0,101,0
"Happily N'Ever After",47000000,75,626667
"Battlefield Earth",44000000,118,372881
"George and the Dragon",32000000,93,344086
"The Fugitive",44000000,130,338462
"The Ladykillers",0,104,0
"Les Choristes",0,96,0
"RoboCop 3",22000000,104,211538
"Space Cowboys",65000000,130,500000
"Bee Movie",150000000,91,1648352
"The Blue Lagoon",4500000,104,43269
Control,0,121,0
"Beyond the Valley of the Dolls",2090000,109,19174
Once,160000,85,1882
Baghead,0,84,0
"Tom Jones",1000000,128,7813
"Torn Curtain",3000000,128,23438
"The Sentinel",60000000,108,555556
"Sweet Sweetback's Baadasssss Song",150000,97,1546
"Angel Eyes",53000000,102,519608
"Family Plot",2000000,121,16529
"The Mist",18000000,126,142857
"De jurk",0,103,0
"A Bridge Too Far",22000000,175,125714
"Into the Wild",15000000,148,101351
"The Great Escape",4000000,172,23256
"The Pledge",35000000,123,284553
"Along Came Polly",42000000,90,466667
"We're No Angels",20000000,106,188679
"The Family Man",60000000,125,480000
Elling,0,89,0
"The Good Thief",0,108,0
"Sorority Boys",12000000,93,129032
"P.S. I Love You",30000000,126,238095
"Shanghai Knights",50000000,115,434783
"Six Days Seven Nights",70000000,98,714286
"Kiss of Death",40000000,101,396040
"The Mexican",57000000,123,463415
Salvador,4500000,123,36585
Dracula,40000000,128,312500
"Spice World",25000000,93,268817
Dreamcatcher,68000000,136,500000
"Cat People",0,118,0
"Reign of Fire",60000000,101,594059
"Coyote Ugly",45000000,100,450000
"Three Kings",75000000,114,657895
"Practical Magic",75000000,104,721154
"Racing Stripes",30000000,102,294118
"The Shipping News",0,111,0
"Freddy vs. Jason",30000000,97,309278
"Alvin and the Chipmunks",60000000,92,652174
"Beyond the Sea",23000000,118,194915
"I Am Legend",150000000,101,1485149
Arachnophobia,31000000,103,300971
"The Dukes of Hazzard",50000000,104,480769
"First Knight",55000000,134,410448
"The Contender",9000000,126,71429
"El orfanato",0,105,0
"Charlie Wilson's War",75000000,102,735294
"Idle Hands",25000000,92,271739
"27 Dresses",30000000,111,270270
"Walk Hard: The Dewey Cox Story",35000000,96,364583
"Lars and the Real Girl",12000000,106,113208
"The Peacemaker",50000000,124,403226
"Love in the Time of Cholera",45000000,139,323741
Transsiberian,15000000,111,135135
"Zathura: A Space Adventure",65000000,101,643564
"Failure to Launch",50000000,97,515464
"One Missed Call",20000000,87,229885
"The Village",60000000,108,555556
Outbreak,50000000,127,393701
"The 40 Year Old Virgin",26000000,116,224138
"The Wedding Date",15000000,88,170455
"The Weather Man",20000000,101,198020
"Something's Gotta Give",80000000,128,625000
"Der Baader Meinhof Komplex",27000000,150,180000
Australia,130000000,165,787879
"In the Valley of Elah",23000000,124,185484
"No Country for Old Men",25000000,122,204918
"Big Trouble in Little China",25000000,99,252525
"White Noise 2: The Light",0,99,0
Cloverfield,25000000,85,294118
"Coach Carter",30000000,136,220588
"The Punisher",33000000,124,266129
"Meet the Spartans",30000000,84,357143
Duplex,40000000,89,449438
Equilibrium,20000000,107,186916
"Lonesome Jim",0,91,0
"Maid in Manhattan",55000000,105,523810
"Running Scared",17000000,122,139344
Alive,32000000,120,266667
Juno,7500000,96,78125
"The Rage: Carrie 2",21000000,104,201923
"There Will Be Blood",25000000,158,158228
"Tropa de Elite",4000000,115,34783
"The Bucket List",45000000,97,463918
Sahara,130000000,124,1048387
"Chicken Run",45000000,84,535714
Brothers,26000000,104,250000
"Tropic Thunder",92000000,107,859813
"Titan A.E.",75000000,94,797872
xXx,70000000,124,564516
"The Hitchhiker's Guide to the Galaxy",50000000,109,458716
"Speed Racer",120000000,135,888889
"Vantage Point",40000000,90,444444
"Open Season",85000000,83,1024096
Shooter,61000000,124,491935
"Knockaround Guys",15000000,92,163043
"1947: Earth",0,101,0
Water,0,115,0
"Running with Scissors",12000000,116,103448
Idiocracy,30000000,84,357143
London,0,92,0
"Smokin' Aces",17000000,109,155963
"Over the Hedge",80000000,83,963855
"Come Early Morning",6000000,97,61856
"The Libertine",0,114,0
"Fun with Dick and Jane",100000000,90,1111111
Waiting...,3000000,94,31915
"Die Welle",7500000,107,70093
"Resident Evil: Extinction",45000000,94,478723
"Half Nelson",700000,107,6542
Shine,0,105,0
"Down in the Valley",8000000,112,71429
"Harsh Times",2000000,120,16667
"Black Snake Moan",15000000,116,129310
"Rang De Basanti",2200000,157,14013
"Run Fatboy Run",10000000,100,100000
"Shine a Light",0,122,0
"سكر بنات",0,96,0
"The Wolfman",150000000,102,1470588
"The Kite Runner",20000000,128,156250
"The Lovely Bones",65000000,136,477941
"Behind Enemy Lines",40000000,106,377358
Highlander,16000000,116,137931
"Highlander III: The Sorcerer",26000000,99,262626
"Get Shorty",30250000,105,288095
Gigli,54000000,121,446281
"Punch-Drunk Love",25000000,95,263158
"The Three Burials of Melquiades Estrada",15000000,121,123967
"The Imaginarium of Doctor Parnassus",30000000,123,243902
"The Reader",32000000,124,258065
"Married Life",12000000,90,133333
21,35000000,123,284553
Desperado,7000000,104,67308
Barbarella,9000000,98,91837
Alien³,50000000,114,438596
"Alien: Resurrection",70000000,109,642202
"Suspect Zero",27000000,99,272727
Untraceable,35000000,101,346535
Cleopatra,31115000,248,125464
"You Kill Me",4000000,90,44444
"Napoleon Dynamite",400000,95,4211
Ronin,55000000,122,450820
"Midnight in the Garden of Good and Evil",35000000,155,225806
"The Quiet American",30000000,101,297030
"Æon Flux",62000000,93,666667
"The Spiderwick Chronicles",90000000,95,947368
8MM,40000000,123,325203
Jumper,85000000,88,965909
"Bienvenue chez les ch'tis",11000000,106,103774
Disturbia,20000000,105,190476
"The Savages",0,114,0
"American Wedding",55000000,103,533981
"The Spirit",60000000,103,582524
"Poetic Justice",14000000,109,128440
"Four Brothers",45000000,109,412844
"Howards End",0,140,0
"In Bruges",15000000,107,140187
Holes,20000000,117,170940
"Step Up 2: The Streets",23000000,98,234694
[REC],1500000,78,19231
"They Live",4000000,94,42553
Blindness,25000000,121,206612
"My Big Fat Greek Wedding",5000000,95,52632
"Ice Age: Dawn of the Dinosaurs",90000000,94,957447
"What the #$*! Do We (K)now!?",0,109,0
"Cast Away",90000000,143,629371
"Kit Kittredge: An American Girl",0,101,0
Superbad,20000000,113,176991
"Robin Hood: Prince of Thieves",48000000,143,335664
"Transformers: Revenge of the Fallen",150000000,150,1000000
"The Boondock Saints",6000000,108,55556
"How High",12000000,93,129032
"Definitely, Maybe",0,112,0
"Day of the Dead",3500000,96,36458
"A Man Apart",36000000,109,330275
"Event Horizon",60000000,96,625000
"Il conformista",750000,107,7009
"I Spy",70000000,97,721649
"A Cock and Bull Story",0,94,0
"The 6th Day",82000000,123,666667
"Never Back Down",20000000,115,173913
"Drillbit Taylor",40000000,102,392157
"Funny Games",15000000,112,133929
"Dumb and Dumber",16000000,107,149533
"Animal House",2700000,109,24771
"John Q",36000000,116,310345
"Wild Wild West",170000000,106,1603774
Hitch,70000000,118,593220
Ali,107000000,157,681529
"Superman II",54000000,127,425197
"Little Voice",0,97,0
"Shanghai Noon",55000000,110,500000
"The Lion King",45000000,89,505618
"Dick Tracy",47000000,103,456311
"Prom Night",0,88,0
"The History Boys",4000000,109,36697
"Master and Commander: The Far Side of the World",150000000,138,1086957
"The Exorcism of Emily Rose",19000000,122,155738
"The Happening",60000000,91,659341
"Bringing Out the Dead",32000000,121,264463
"Deep Impact",75000000,120,625000
"K-19: The Widowmaker",100000000,138,724638
"Charlie Bartlett",12000000,97,123711
Orgazmo,1000000,94,10638
"Fool's Gold",70000000,112,625000
Taken,25000000,93,268817
"Snake Eyes",73000000,98,744898
"The League of Extraordinary Gentlemen",78000000,110,709091
"Anchorman: The Legend of Ron Burgundy",26000000,94,276596
"The Thin Red Line",52000000,170,305882
"Albino Alligator",6000000,97,61856
"Baby Mama",30000000,99,303030
"Mad Max 2",2000000,95,21053
Doom,60000000,105,571429
Evita,55000000,134,410448
Timecop,27000000,99,272727
"Conspiracy Theory",75000000,135,555556
"Legally Blonde",18000000,96,187500
"The X Files: I Want to Believe",30000000,104,288462
"Mercury Rising",60000000,111,540541
Casper,50000000,100,500000
DragonHeart,57000000,103,553398
"Entre les murs",0,128,0
"Against the Ropes",39000000,106,367925
"The Cell",33000000,107,308411
"Standard Operating Procedure",0,117,0
"The Bank Job",20000000,112,178571
Alfie,60000000,103,582524
"The Shadow",25000000,108,231481
Steel,16000000,97,164948
"Dude, Where’s My Car?",13000000,83,156627
"Eight Legged Freaks",0,99,0
"Red Planet",80000000,106,754717
"How the Grinch Stole Christmas",123000000,104,1182692
"Wayne's World",20000000,94,212766
"My Best Friend's Wedding",38000000,105,361905
"Timber Falls",2600000,97,26804
"Pale Rider",0,115,0
"Flammen & Citronen",6500000,130,50000
"Vals Im Bashir",2000000,90,22222
Wanted,75000000,110,681818
"Pet Sematary",11500000,103,111650
"Deep Blue Sea",60000000,105,571429
Antz,60000000,83,722892
Garfield,50000000,80,625000
"Jeepers Creepers",10000000,90,111111
"Wendy and Lucy",200000,80,2500
"What Just Happened",25000000,104,240385
"I Love You Phillip Morris",13000000,98,132653
Steamboy,20000000,126,158730
Hancock,150000000,92,1630435
"Bad Boys II",130000000,147,884354
"Crimson Tide",53000000,116,456897
Twilight,37000000,122,303279
"The Tree of Life",32000000,139,230216
Boogeyman,20000000,89,224719
"The Out-of-Towners",75000000,90,833333
"The Marine",20000000,92,217391
"A Lot Like Love",30000000,107,280374
"Assault on Precinct 13",30000000,109,275229
"Dear Frankie",0,105,0
ต้มยำกุ้ง,6000000,108,55556
Disclosure,55000000,123,447154
"The River Wild",45000000,111,405405
Stop-Loss,25000000,113,221239
"Friends with Money",6500000,88,73864
Derailed,22000000,108,203704
Hellraiser,1000000,94,10638
"Just Like Heaven",58000000,95,610526
"The Insider",90000000,157,573248
"Dark Water",30000000,105,285714
"Jackass: The Movie",5000000,87,57471
"Midnight Run",30000000,126,238095
"Treasure Planet",140000000,95,1473684
"The Santa Clause 2",65000000,104,625000
"All the Boys Love Mandy Lane",750000,90,8333
"Spirit: Stallion of the Cimarron",80000000,83,963855
"The Importance of Being Earnest",0,97,0
"The Guru",0,91,0
"What Happens in Vegas",35000000,99,353535
"The Eye",12000000,98,122449
"Big Daddy",34200000,93,367742
"The Banger Sisters",10000000,98,102041
Slither,15500000,95,163158
"Eight Below",40000000,120,333333
"The Cave",30000000,97,309278
"The Family Stone",0,103,0
Amen.,0,132,0
"DOA: Dead or Alive",21000000,87,241379
"Tales from the Crypt: Demon Knight",0,92,0
"Tank Girl",25000000,98,255102
"Little Man",64000000,98,653061
"The Man",0,83,0
Zwartboek,21000000,145,144828
"The American President",62000000,106,584906
"Home for the Holidays",0,103,0
"Snow White: A Tale of Terror",26000000,100,260000
"The Four Feathers",35000000,132,265152
"Mary Reilly",47000000,104,451923
"Medicine Man",40000000,106,377358
"Sgt. Bilko",0,90,0
"The Craft",15000000,101,148515
"Buffalo Soldiers",15000000,98,153061
"Broken Arrow",50000000,108,462963
S.W.A.T.,80000000,117,683761
"Welcome to Collinwood",1200000,86,13953
"Blue Crush",25000000,104,240385
Eraser,100000000,115,869565
Virtuosity,30000000,106,283019
"Ace Ventura: When Nature Calls",30000000,90,333333
"Death to Smoochy",55000000,109,504587
"The Faculty",15000000,104,144231
"The Sting",5500000,129,42636
"Jingle All the Way",60000000,89,674157
"Femme Fatale",35000000,114,307018
Witness,12000000,113,106195
11:14,6000000,86,69767
"Road Trip",16000000,93,172043
"Final Destination 3",25000000,93,268817
"Dungeons & Dragons: Wrath of the Dragon God",0,105,0
"The Longest Day",10000000,178,56180
"Crocodile Dundee in Los Angeles",21150000,92,229891
"The Longest Yard",82000000,113,725664
"Hudson Hawk",65000000,100,650000
Phenomenon,32000000,123,260163
"Monster House",75000000,91,824176
"Up Close & Personal",60000000,119,504202
Bound,4500000,108,41667
Multiplicity,45000000,117,384615
"The Island of Dr. Moreau",40000000,96,416667
"American Dreamz",17000000,107,158879
"Smilla's Sense of Snow",35000000,121,289256
"Mortal Kombat",18000000,101,178218
"The Man in the Iron Mask",0,132,0
Flightplan,55000000,98,561224
"The Nutty Professor",54000000,95,568421
"Clear and Present Danger",62000000,141,439716
"The Scorpion King",60000000,92,652174
"Transporter 2",32000000,87,367816
"Police Academy",4500000,96,46875
Click,82500000,107,771028
"The Core",60000000,136,441176
"The Mask of Zorro",95000000,136,698529
Kids,1500000,91,16484
Species,35000000,108,324074
Cliffhanger,70000000,112,625000
EuroTrip,25000000,93,268817
"Nacho Libre",32000000,92,347826
"Mad Max Beyond Thunderdome",12305523,107,115005
"One Hour Photo",12000000,96,125000
"Final Destination 2",26000000,90,288889
Anaconda,45000000,89,505618
"The Last of the Mohicans",40000000,112,357143
Tremors,11000000,96,114583
"Donnie Brasco",35000000,127,275591
"El Mariachi",220000,81,2716
"Super Size Me",65000,100,650
"Death Becomes Her",55000000,104,528846
"Thir13en Ghosts",0,91,0
"Babylon A.D.",70000000,101,693069
"Hollow Man",95000000,112,848214
"Starsky & Hutch",60000000,101,594059
"Conan the Barbarian",20000000,129,155039
"Thank You for Smoking",6500000,92,70652
Renaissance,18000000,105,171429
"Jerry Maguire",50000000,139,359712
"The Descent",0,99,0
"Crocodile Dundee II",0,110,0
Zoolander,28000000,89,314607
"Set It Off",9000000,118,76271
"Surf's Up",85000000,85,1000000
"The Man Who Knew Too Little",20000000,97,206186
"Money Talks",0,97,0
"A Civil Action",70000000,115,608696
"Disturbing Behavior",15000000,84,178571
Soldier,75000000,99,757576
"The Full Monty",3500000,91,38462
"The Royal Tenenbaums",21000000,110,190909
"A Night at the Roxbury",17000000,81,209877
Go,6500000,98,66327
"The Edge",0,117,0
"Grosse Pointe Blank",0,107,0
"Kiss the Girls",27000000,115,234783
"Primary Colors",65000000,143,454545
Stepmom,0,124,0
"Chariots of Fire",5500000,123,44715
Anastasia,53000000,94,563830
"Babe: Pig in the City",90000000,92,978261
"The Big Hit",13000000,91,142857
"The Borrowers",29000000,86,337209
Election,0,99,0
Bulworth,30000000,108,277778
EverAfter,26000000,121,214876
"The Corruptor",25000000,110,227273
"Deep Rising",45000000,106,424528
Woodstock,600000,225,2667
"Buffalo '66",1500000,110,13636
Celebrity,0,113,0
"He Got Game",25000000,136,183824
功夫,20000000,99,202020
"Charlie's Angels: Full Throttle",120000000,106,1132075
"DodgeBall: A True Underdog Story",20000000,92,217391
"South Park: Bigger, Longer & Uncut",21000000,81,259259
"A Knight's Tale",65000000,132,492424
"The Bone Collector",73000000,118,618644
"Johnny English",40000000,88,454545
"A Bug's Life",120000000,95,1263158
"Spy Kids 2: The Island of Lost Dreams",38000000,100,380000
"You've Got Mail",65000000,119,546218
"Half Baked",8000000,82,97561
Twins,15000000,107,140187
"The Crow",15000000,102,147059
"Kung Fu Panda",130000000,90,1444444
"Glengarry Glen Ross",12500000,100,125000
"Man on Fire",70000000,146,479452
"Garfield: A Tail of Two Kitties",0,78,0
"The Matador",10000000,96,104167
"Menace II Society",3500000,97,36082
Bully,0,113,0
"A Prairie Home Companion",10000000,105,95238
"Superman III",39000000,125,312000
"Final Destination",23000000,98,234694
"Red Dragon",78000000,124,629032
"Analyze This",80000000,103,776699
"Jersey Girl",35000000,102,343137
"Prince of Persia: The Sands of Time",150000000,116,1293103
FearDotCom,40000000,101,396040
"The Adventures of Ford Fairlane",49000000,104,471154
"The Right Stuff",27000000,193,139896
十面埋伏,0,119,0
"The Exorcist",8000000,122,65574
"Rabbit-Proof Fence",0,94,0
"Boat Trip",20000000,94,212766
Timeline,80000000,116,689655
"Any Given Sunday",55000000,163,337423
"The Fan",55000000,116,474138
"Tears of the Sun",70000000,121,578512
"The Black Hole",20000000,98,204082
"Dazed and Confused",6900000,102,67647
"Blood Work",50000000,110,454545
Flubber,80000000,93,860215
Tootsie,21000000,116,181034
"A Guy Thing",20000000,101,198020
"Divine Secrets of the Ya-Ya Sisterhood",27000000,116,232759
"Little Women",18000000,115,156522
"Quigley Down Under",0,119,0
"That Thing You Do!",0,108,0
"Last Action Hero",85000000,130,653846
"Double Impact",15000000,110,136364
Babe,30000000,89,337079
"Big Momma's House",30000000,98,306122
Clueless,12000000,97,123711
"Super Mario Bros.",48000000,104,461538
"Conan the Destroyer",18000000,103,174757
Spider,0,98,0
"Happy Gilmore",12000000,92,130435
"The Fast and the Furious: Tokyo Drift",85000000,104,817308
"The Order",35000000,102,343137
"Tango & Cash",55000000,104,528846
"Dante's Peak",116000000,108,1074074
Paycheck,60000000,119,504202
Elizabethtown,57000000,123,463415
"The Juror",44000000,118,372881
"On Deadly Ground",50000000,102,490196
"The Glimmer Man",45000000,92,489130
"Red Sonja",17900000,89,201124
"The Negotiator",50000000,140,357143
Scooby-Doo,84000000,88,954545
"Cheaper by the Dozen 2",60000000,94,638298
"National Lampoon's Loaded Weapon 1",0,84,0
"Ghost Ship",35000000,91,384615
Scrooged,0,101,0
"The Italian Job",60000000,110,545455
"She's the Man",20000000,105,190476
"Black Christmas",9000000,84,107143
"Mad Max",400000,93,4301
"Les triplettes de Belleville",8000000,80,100000
Flyboys,60000000,140,428571
Glory,18000000,122,147541
"The Jacket",29000000,103,281553
"Crocodile Dundee",5000000,97,51546
Infamous,13000000,110,118182
Sideways,16000000,126,126984
"The Black Dahlia",50000000,121,413223
"Little Nicky",85000000,90,944444
"Gone in Sixty Seconds",90000000,118,762712
Pulse,38000000,90,422222
"Bubble Boy",0,84,0
"Igby Goes Down",9000000,97,92784
"New York Stories",15000000,124,120968
"Hollywood Ending",16000000,112,142857
Assassins,50000000,132,378788
"Children of Men",76000000,109,697248
"Lady in the Water",75000000,110,681818
"The Lost City",9600000,144,66667
"North Country",35000000,126,277778
"Bound by Honor",35000000,180,194444
"The Last Legion",67000000,102,656863
Swordfish,102000000,99,1030303
"Bubba Ho-tep",1000000,92,10870
"My Summer of Love",0,86,0
"Holy Man",60000000,114,526316
"Hope Floats",0,114,0
"Everyone Says I Love You",20000000,101,198020
"Talladega Nights: The Ballad of Ricky Bobby",72500000,116,625000
"Friday the 13th Part 2",1250000,87,14368
"A Good Year",35000000,118,296610
"Friday the 13th Part III",4000000,95,42105
"Where the Truth Lies",25000000,107,233645
"Friday the 13th: The Final Chapter",2600000,91,28571
"Friday the 13th: A New Beginning",2200000,92,23913
"Bad Boys",19000000,118,161017
Unbreakable,75000000,106,707547
Kundun,28000000,134,208955
Firewall,45000000,105,428571
Cellular,25000000,94,265957
"Epic Movie",20000000,86,232558
"Step Up",12000000,104,115385
"Goal!: The Dream Begins",30000000,118,254237
"Gridiron Gang",30000000,125,240000
"The Break-Up",52000000,106,490566
"Mad City",50000000,114,438596
"Air Force One",85000000,124,685484
"Head of State",0,95,0
Serendipity,28000000,90,311111
"The Sisterhood of the Traveling Pants",25000000,119,210084
"Detroit Rock City",6500000,95,68421
"The Night Listener",0,91,0
Sublime,0,113,0
"Lords of Dogtown",25000000,107,233645
"The Hills Have Eyes",15000000,107,140187
"The Hills Have Eyes II",15000000,89,168539
"Employee of the Month",12000000,103,116505
"Enemy of the State",90000000,132,681818
"The Fast and the Furious",38000000,106,358491
Philadelphia,26000000,125,208000
"Bridget Jones: The Edge of Reason",50000000,108,462963
"The Rock",75000000,136,551471
Waterworld,175000000,135,1296296
"The Incredibles",92000000,115,800000
"Let's Go to Prison",4000000,84,47619
"The Quiet",900000,96,9375
"Save the Last Dance",13000000,112,116071
"Marvin's Room",0,98,0
"The Mighty",0,100,0
"Mighty Joe Young",90000000,114,789474
"Mortal Kombat: Annihilation",30000000,95,315789
"Mystery Men",68000000,121,561983
"Lake Placid",27000000,82,329268
"The Phantom",45000000,100,450000
"United 93",15000000,111,135135
"The Phantom of the Opera",70000000,143,489510
"Happy Feet",100000000,108,925926
"The Prince of Egypt",70000000,99,707071
"Beyond Borders",35000000,127,275591
"School for Scoundrels",20000000,100,200000
"My Favorite Martian",65000000,94,691489
"Patriot Games",45000000,117,384615
"Forgetting Sarah Marshall",30000000,111,270270
"Urban Legend",14000000,99,141414
Striptease,50000000,115,434783
"The Princess Diaries",37000000,115,321739
"The Siege",70000000,116,603448
"Collateral Damage",85000000,108,787037
"Shallow Hal",40000000,114,350877
"The Stepford Wives",90000000,93,967742
Sleepover,0,89,0
"The Cable Guy",47000000,96,489583
"Man of the Year",20000000,115,173913
"Rat Race",48000000,112,428571
"The Producers",45000000,134,335821
"Grandma's Boy",0,94,0
"Wrong Turn",12600000,84,150000
"The Hoax",25000000,116,215517
"The Ant Bully",50000000,88,568182
Barnyard,51000000,90,566667
"The World's Fastest Indian",25000000,127,196850
"The Skeleton Key",43000000,104,413462
"The Last Sin Eater",0,117,0
"Glory Road",0,118,0
"How to Lose a Guy in 10 Days",50000000,116,431034
Ultraviolet,30000000,87,344828
"The Postman",80000000,177,451977
Domino,50000000,127,393701
Robots,75000000,91,824176
"Legal Eagles",0,116,0
"Analyze That",60000000,96,625000
"Major League",11000000,107,102804
"The Pelican Brief",45000000,141,319149
Vampires,20000000,108,185185
"End of Days",100000000,121,826446
Elektra,43000000,97,443299
"Find Me Guilty",13000000,125,104000
"Rescue Dawn",10000000,126,79365
"The Covenant",20000000,97,206186
"Blades of Glory",53000000,93,569892
"The Benchwarmers",0,80,0
"The Good Girl",8000000,93,86022
Premonition,20000000,96,208333
"Deck the Halls",0,93,0
"Curious George",50000000,86,581395
Stormbreaker,40000000,93,430108
"Kicking & Screaming",45000000,95,473684
"Chicken Little",150000000,81,1851852
"Charlotte's Web",85000000,97,876289
Beerfest,17500000,110,159091
Antitrust,30000000,108,277778
"Mean Machine",0,99,0
"Arthur et les Minimoys",86000000,94,914894
"The Saint",68000000,116,586207
"An American Haunting",0,83,0
Cursed,35000000,97,360825
"Peggy Sue Got Married",18000000,103,174757
"A Nightmare on Elm Street Part 2: Freddy's Revenge",3000000,87,34483
