title,budget,runtime,Budget_Per_Minute
"Das Boot",14000000,149,93960
"Inside Man",45000000,129,348837
"12 Angry Men",350000,96,3646
"Per un pugno di dollari",200000,99,2020
Chocolat,25000000,121,206612
"Kill Bill: Vol. 2",30000000,136,220588
"AVP: Alien vs. Predator",70000000,101,693069
Capote,7000000,114,61404
"Things to Do in Denver When You're Dead",8000000,116,68966
"Garden State",2500000,102,24510
"Driving Miss Daisy",7500000,99,75758
"The Straight Story",10000000,112,89286
"Snow White and the Seven Dwarfs",1488423,83,17933
"The English Patient",27000000,162,166667
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,143,1258741
"Batman Forever",100000000,121,826446
"Batman & Robin",125000000,125,1000000
"The Life Aquatic with Steve Zissou",50000000,119,420168
"The Pianist",35000000,150,233333
"Schindler's List",22000000,195,112821
"Ice Age",59000000,81,728395
"Il buono, il brutto, il cattivo",1200000,161,7453
Cube,250000,90,2778
"Mary Poppins",6000000,139,43165
"The Day After Tomorrow",125000000,124,1008065
"María, llena eres de gracia",0,101,0
"Aliens vs Predator: Requiem",40000000,94,425532
"Leaving Las Vegas",3600000,112,32143
"A Beautiful Mind",60000000,135,444444
"Romeo + Juliet",14500000,120,120833
"Bend It Like Beckham",3500159,112,31251
"Erin Brockovich",52000000,131,396947
"Så som i himmelen",0,132,0
"My Own Private Idaho",2500000,104,24038
"21 Grams",20000000,124,161290
Pi,60000,84,714
Shaft,46000000,99,464646
"Monsoon Wedding",0,114,0
"Good Will Hunting",10000000,126,79365
"Being John Malkovich",13000000,112,116071
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan",18000000,82,219512
"The Green Mile",60000000,189,317460
"Reservoir Dogs",1200000,99,12121
Poseidon,160000000,99,1616162
Monster,8000000,110,72727
"Killing Zoe",1500000,96,15625
"Love Actually",40000000,135,296296
"Notting Hill",42000000,124,338710
"One Flew Over the Cuckoo's Nest",3000000,133,22556
Scoop,4000000,96,41667
"Ed Wood",18000000,127,141732
Casino,52000000,178,292135
"The Blues Brothers",27000000,133,203008
Ladyhawke,20000000,121,165289
"The Curse of the Were-Rabbit",30000000,85,352941
"Terminator Salvation",200000000,115,1739130
Flashdance,4000000,95,42105
Psycho,806948,109,7403
D.E.B.S.,3500000,91,38462
"El Crimen del Padre Amaro",1800000,118,15254
"There's Something About Mary",23000000,119,193277
Transamerica,1000000,103,9709
"The Horse Whisperer",60000000,170,352941
Basquiat,2962051,108,27426
"Fight Club",63000000,139,453237
Spider-Man,139000000,121,1148760
"Spider-Man 2",200000000,127,1574803
